Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6751","Estimated","Estimated using previous year's AADF on this link","London","City of London","A201","PU","531650","181040","A3211","St Bride St",".19000000000000000","182.34999999999999","346.66000000000003","2734.9400000000001","42.25","521.12","81.719999999999999","4.9000000000000004","7.6200000000000001","3.27","2.1800000000000002","2.1800000000000002","101.86","3746.8299999999999"
"2000","8618","Estimated","Estimated using previous year's AADF on this link","London","City of London","A3211","PU","533000","180669","Fish St Hill","LA Boundary",".37000000000000000","48.719999999999999","244.94","6942.4099999999999","175.13999999999999","758.38","213.91999999999999","25.719999999999999","43.950000000000003","17.010000000000002","20","14.56","335.17000000000002","8456.0300000000007"
"2000","8619","Estimated","Estimated using previous year's AADF on this link","London","City of London","A300","PU","532400","180700","LA Boundary","A3211",".12000000000000000","77.700000000000003","107.87","498.24000000000001","13.93","92.040000000000006","19.91","3.5800000000000001","9.0299999999999994","7.2599999999999998","2.9500000000000002","2.3100000000000001","45.039999999999999","757.11000000000001"
"2000","16177","Estimated","Estimated using previous year's AADF on this link","London","City of London","A10","PU","533300","181600","Houndsditch","LA Boundary",".37000000000000000","236.09999999999999","215.96000000000001","2490.27","171.19","440.36000000000001","105.87","3.3999999999999999","5.8499999999999996","1.5","0.94999999999999996","1.9100000000000001","119.48","3437.25"
"2000","16400","Estimated","Estimated from nearby links","London","City of London","A40","PU","532050","181300","Edward St","Cheapside",".06000000000000000","13.34","51.759999999999998","466.63999999999999","6.5999999999999996","74.909999999999997","12.289999999999999","1.0900000000000001","0.20000000000000001","0.27000000000000002","0.16","0.14000000000000001","14.15","614.05999999999995"
"2000","17915","Estimated","Estimated using previous year's AADF on this link","London","City of London","A1211","PU","532500","181570","A501","A1",".37000000000000000","66.950000000000003","102.2","2143.4000000000001","26.399999999999999","286.44999999999999","81.099999999999994","3.9500000000000002","3.6699999999999999","2.1800000000000002","1.77","0.68000000000000005","93.349999999999994","2651.8000000000002"
"2000","18468","Estimated","Estimated using previous year's AADF on this link","London","City of London","A3211","PU","531350","180820","LA Boundary","A201 Blackfriars Bridge",".31000000000000000","127.69","525.61000000000001","5790.2200000000003","0","293.93000000000001","640.82000000000005","362.43000000000001","10.77","8.7300000000000004","3.3999999999999999","0.11","1026.27","7636.0299999999997"
"2000","18599","Estimated","Estimated using previous year's AADF on this link","London","City of London","A11","PU","533627","181289","A1211","LA Boundary",".12000000000000000","37.780000000000001","58.020000000000003","563.91999999999996","37.420000000000002","120.79000000000001","31.620000000000001","1.6800000000000002","0.58999999999999997","0.58999999999999997","0.27000000000000002","0.17999999999999999","34.93","815.08000000000004"
"2000","18600","Estimated","Estimated using previous year's AADF on this link","London","City of London","A4","PU","531270","181300","LA Boundary","High Holborn",".37000000000000000","92.129999999999995","190.38","1317.8","17.960000000000001","220.86000000000001","38.240000000000002","1.77","0.68000000000000005","0","0.40999999999999998","0.27000000000000002","41.369999999999997","1788.3699999999999"
"2000","18604","Counted","Manual count","London","City of London","A1211","PU","533000","181485","Bishopsgate","A501",".31000000000000000","102.63","216.59","2116.6199999999999","63.619999999999997","344.39999999999998","71.099999999999994","4.3099999999999996","3.29","0.68000000000000005","0.23000000000000001","0.34000000000000002","79.950000000000003","2821.1700000000001"
"2000","26078","Estimated","Estimated using previous year's AADF on this link","London","City of London","A1","PU","532100","182000","A1211","LA Boundary",".37000000000000000","105.33","231.74000000000001","1820.6199999999999","59.189999999999998","330.94999999999999","83.420000000000002","9.6600000000000001","4.6299999999999999","1.3599999999999999","0.27000000000000002","0.68000000000000005","100.02","2542.52"
"2000","26430","Counted","Manual count","London","City of London","A40","PU","531300","181580","LA Boundary","Holborn Circus",".19000000000000000","98.25","127.09999999999999","1916.6900000000001","110.91","264.74000000000001","34.5","3.54","4.0099999999999998","2.25","0.20000000000000001","0.20000000000000001","44.700000000000003","2464.1399999999999"
"2000","26775","Estimated","Estimated using previous year's AADF on this link","London","City of London","A201","PU","531600","181400","St Bride St","LA Boundary",".25000000000000000","225.80000000000001","419.67000000000002","2739.75","43.909999999999997","587.87","128.46000000000001","8.4399999999999995","7.5300000000000002","2.1800000000000002","1.6299999999999999","1.1799999999999999","149.41999999999999","3940.6100000000001"
"2000","27959","Estimated","Estimated using previous year's AADF on this link","London","City of London","A1211","PU","533400","181370","St Botolph St roundabout","Outwich St",".25000000000000000","21.23","89.629999999999995","679.22000000000003","29.57","170.37","37.380000000000003","0.81999999999999995","1.54","0.72999999999999998","0","8.9999999999999997E-2","40.549999999999997","1009.35"
"2000","28214","Estimated","Estimated using previous year's AADF on this link","London","City of London","A4208","PU","531499","181359","Farringdon St","High Holborn",".25000000000000000","75.480000000000004","148.06","1010.71","13.34","170.91999999999999","33.840000000000003","1.72","0.91000000000000003","0.17999999999999999","0","0","36.649999999999999","1379.6700000000001"
"2000","28745","Estimated","Estimated using previous year's AADF on this link","London","City of London","A10","PU","532950","180910","A3","London Wall",".43000000000000000","298.63","392.76999999999998","2614.9400000000001","126.37","425.48000000000002","155.59","7.6200000000000001","4.5999999999999996","0.64000000000000001","0.94999999999999996","0.47999999999999998","169.87","3729.4400000000001"
